;geneve-la-praille;val-ombre;geneve-aeroport;nyon;gland;aubonne;tolochenaz-morges;leman;aclens;daillens;chavorney;yverdon;payerne;avanches;broye;kerzers;lyss-ort;solothurn-zuchwil;niederbipp;neuendorf;harkingen;rickenbach-wangen;dulliken-sud;suhr;schafisheim;heitersberg;urdorf;zurich-aussersihl;zurich-nord;zurich-flughafen;aegert;winterthur;winterthur-hegi;frauenfeld;wil;uzwil-oberburen;gossaucst;st.-gallen-st.-fiden;oftringen-zofingen;dagmersellen;sursee;rothenburg;emmenbrucke;luzern-allmend;dulliken;sissach;liestal;mayenfels;basel-wolf;basel-gateway-nord;lyss;biel/bienne;pratteln-west;limmatstadt;wangen-dubendorf;schonbuhl;bern;bern-wankdorf;muri-gumligen;munsingen;heimberg-steffisburg;gwatt;bern-weyermannshaus;fribourg;crissier;lausanne-malley;zimeysa-meyrin
harkingen;214.4;209.1;206.5;188.7;183.7;170.9;163.8;154.8;153.2;145.5;136.1;127.9;103.6;90.9;77.8;63.7;47.3;23.8;9.8;2;;4.52;11.21;23.58;27.37;45.28;51.88;58.98;65.48;71.98;74.68;89.38;92.48;105.98;122.58;133.58;146.08;154.98;15.81;27.81;38.21;53.11;56.41;60.61;12.71;29.91;36.91;40.97;48.62;54.62;49.1;57.75;42.27;47.38;76.78;62.3;68.3;73.25;78.73;87.31;98.31;107.65;73.3;95.8;157.8;161.85;211.5
rickenbach-wangen;218.92;213.62;211.02;193.22;188.22;175.42;168.32;159.32;157.72;150.02;140.62;132.42;108.12;95.42;82.32;68.22;51.82;28.32;14.32;6.52;4.52;;6.69;19.06;22.85;40.76;47.36;54.46;60.96;67.46;70.16;84.86;87.96;101.46;118.06;129.06;141.56;150.46;11.29;23.29;33.69;48.59;51.89;56.09;8.19;25.39;32.39;36.45;44.1;50.1;53.62;62.27;37.75;42.86;72.26;66.82;72.82;77.77;83.25;91.83;102.83;112.17;77.82;100.32;162.32;166.37;216.02
dulliken-sud;225.61;220.31;217.71;199.91;194.91;182.11;175.01;166.01;164.41;156.71;147.31;139.11;114.81;102.11;89.01;74.91;58.51;35.01;21.01;13.21;11.21;6.69;;12.37;16.16;34.07;40.67;47.77;54.27;60.77;63.47;78.17;81.27;94.77;111.37;122.37;134.87;143.77;4.6;16.6;27;41.9;45.2;49.4;1.5;18.7;25.7;29.76;37.41;43.41;60.31;68.96;31.06;36.17;65.57;73.51;79.51;84.46;89.94;98.52;109.52;118.86;84.51;107.01;169.01;173.06;222.71
suhr;237.98;232.68;230.08;212.28;207.28;194.48;187.38;178.38;176.78;169.08;159.68;151.48;127.18;114.48;101.38;87.28;70.88;47.38;33.38;25.58;23.58;19.06;12.37;;3.79;21.7;28.3;35.4;41.9;48.4;51.1;65.8;68.9;82.4;99;110;122.5;131.4;16.97;28.97;39.37;54.27;57.57;61.77;13.87;31.07;38.07;42.13;49.78;55.78;72.68;81.33;43.43;23.8;53.2;85.88;91.88;96.83;102.31;110.89;121.89;131.23;96.88;119.38;181.38;185.43;235.08
schafisheim;241.77;236.47;233.87;216.07;211.07;198.27;191.17;182.17;180.57;172.87;163.47;155.27;130.97;118.27;105.17;91.07;74.67;51.17;37.17;29.37;27.37;22.85;16.16;3.79;;17.91;24.51;31.61;38.11;44.61;47.31;62.01;65.11;78.61;95.21;106.21;118.71;127.61;20.76;32.76;43.16;58.06;61.36;65.56;17.66;34.86;41.86;45.92;53.57;59.57;76.47;85.12;47.22;20.01;49.41;89.67;95.67;100.62;106.1;114.68;125.68;135.02;100.67;123.17;185.17;189.22;238.87
heitersberg;259.68;254.38;251.78;233.98;228.98;216.18;209.08;200.08;198.48;190.78;181.38;173.18;148.88;136.18;123.08;108.98;92.58;69.08;55.08;47.28;45.28;40.76;34.07;21.7;17.91;;6.6;13.7;20.2;26.7;29.4;44.1;47.2;60.7;77.3;88.3;100.8;109.7;38.67;50.67;61.07;75.97;79.27;83.47;35.57;52.77;59.77;63.83;71.48;77.48;94.38;103.03;65.13;2.1;31.5;107.58;113.58;118.53;124.01;132.59;143.59;152.93;118.58;141.08;203.08;207.13;256.78
urdorf;266.28;260.98;258.38;240.58;235.58;222.78;215.68;206.68;205.08;197.38;187.98;179.78;155.48;142.78;129.68;115.58;99.18;75.68;61.68;53.88;51.88;47.36;40.67;28.3;24.51;6.6;;7.1;13.6;20.1;22.8;37.5;40.6;54.1;70.7;81.7;94.2;103.1;45.27;57.27;67.67;82.57;85.87;90.07;42.17;59.37;66.37;70.43;78.08;84.08;100.98;109.63;71.73;8.7;24.9;114.18;120.18;125.13;130.61;139.19;150.19;159.53;125.18;147.68;209.68;213.73;263.38
zurich-aussersihl;273.38;268.08;265.48;247.68;242.68;229.88;222.78;213.78;212.18;204.48;195.08;186.88;162.58;149.88;136.78;122.68;106.28;82.78;68.78;60.98;58.98;54.46;47.77;35.4;31.61;13.7;7.1;;6.5;13;15.7;30.4;33.5;47;63.6;74.6;87.1;96;52.37;64.37;74.77;89.67;92.97;97.17;49.27;66.47;73.47;77.53;85.18;91.18;108.08;116.73;78.83;15.8;17.8;121.28;127.28;132.23;137.71;146.29;157.29;166.63;132.28;154.78;216.78;220.83;270.48
zurich-nord;279.88;274.58;271.98;254.18;249.18;236.38;229.28;220.28;218.68;210.98;201.58;193.38;169.08;156.38;143.28;129.18;112.78;89.28;75.28;67.48;65.48;60.96;54.27;41.9;38.11;20.2;13.6;6.5;;6.5;9.2;23.9;27;40.5;57.1;68.1;80.6;89.5;58.87;70.87;81.27;96.17;99.47;103.67;55.77;72.97;79.97;84.03;91.68;97.68;114.58;123.23;85.33;22.3;11.3;127.78;133.78;138.73;144.21;152.79;163.79;173.13;138.78;161.28;223.28;227.33;276.98
zurich-flughafen;286.38;281.08;278.48;260.68;255.68;242.88;235.78;226.78;225.18;217.48;208.08;199.88;175.58;162.88;149.78;135.68;119.28;95.78;81.78;73.98;71.98;67.46;60.77;48.4;44.61;26.7;20.1;13;6.5;;2.7;17.4;20.5;34;50.6;61.6;74.1;83;65.37;77.37;87.77;102.67;105.97;110.17;62.27;79.47;86.47;90.53;98.18;104.18;121.08;129.73;91.83;28.8;4.8;134.28;140.28;145.23;150.71;159.29;170.29;179.63;145.28;167.78;229.78;233.83;283.48
